Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,PlayerId_y,MLBAMID_y,Years_Contributed
Austin Riley,159.33333333333334,690.0,36.0,99.33333333333333,99.0,1.6666666666666667,0.08110613733333334,0.24558670566666665,0.23889330900000003,0.33557635799999996,0.28600236700000004,0.35391012666666666,0.524895676,0.37293995885106734,0.36966666666666664,135.7583382072445,-0.23992426041513681,29.744230769589166,-0.5583565135796863,5.35619633072749,18360.0,663586.0,1.6505278746287029,-11.245381037394205,12.895909309387207,21.0673344930013,2.029310425122579,0.9206583698590597,1.377599984407425,1.0,2.9227665265401206,-1.0937486931759037,18360.0,663586.0,3
Ben Zobrist,147.375,629.375,14.0,82.625,69.125,11.25,0.1239422775,0.139535524875,0.156104527625,0.298941226875,0.272059196125,0.36329969675,0.42816372375,0.34655888982010336,0.338,120.8994923625399,1.5372545097779948,16.87624953428602,3.335310744107119,4.297573780795878,7435.0,450314.0,1.2550192847847939,-10.414283215999603,11.669302642345428,18.18779945373535,1.9314985051751137,1.005700912387868,1.3068584374019079,5.0,1.6348416469991207,-0.37867024364689694,7435.0,450314.0,8
Bo Bichette,151.0,662.6666666666666,24.333333333333332,93.66666666666667,89.33333333333333,14.333333333333334,0.05390655566666667,0.20409337066666666,0.17783714933333336,0.346990543,0.2982648863333333,0.33858920966666667,0.4761020356666667,0.350261091545256,0.3506666666666667,125.09808269361395,1.1403951741910225,20.74178289821352,1.8011467456817627,4.542475054708377,19612.0,666182.0,1.9633098443349202,-11.185935020446777,13.149244626363119,21.5774663289388,2.1007625261942544,0.9694408774375916,1.8974999785423279,0.6666666666666666,1.5823498964309692,0.4439820154318217,19612.0,666182.0,3
Bobby Witt Jr.,156.33333333333334,678.3333333333334,27.333333333333332,101.33333333333333,95.0,36.666666666666664,0.06183338766666666,0.179155175,0.216326308,0.314573414,0.28723305233333335,0.3341625973333333,0.5035593603333334,0.3546944610125778,0.365,126.54590788266027,6.440385581615071,28.14444775856175,9.661105314890543,6.170599757705806,25764.0,677951.0,1.0177210172017415,-11.95223585764567,12.969956398010254,21.507132530212402,2.0477303663889566,0.9831133882204691,1.174899935722351,1.0,2.2816382646560673,-1.1664170415687103,25764.0,677951.0,3
Brandon Lowe,149.0,615.0,39.0,97.0,99.0,7.0,0.110569105,0.271544715,0.276635514,0.280120481,0.246728971,0.339837398,0.523364485,0.3633616192055997,0.36,136.42345818863697,1.8413387297187,29.2670784125681,-5.780613660812378,4.467654524843617,18882.0,664040.0,3.2706663608551025,-8.967358589172363,12.238024711608888,41.128299713134766,4.2194929122924805,0.9230439066886902,1.638759970664978,15.0,3.881042718887329,-0.3376940903391729,18882.0,664040.0,1
Brandon Nimmo,148.5,638.25,20.0,89.0,67.25,7.5,0.1199184105,0.22160793775,0.18642978575,0.3149104195,0.2588085375,0.3652261385,0.44523832325,0.3543196518889414,0.344,129.62268487424444,1.194725608394947,23.30129100088947,-2.267223984003067,4.34218356258714,12927.0,607043.0,2.559312582015991,-9.725297212600708,12.2846097946167,27.301499843597412,2.8466383516788483,0.9390473812818527,1.6283333698908489,5.0,2.3373017609119415,0.41344188612212857,12927.0,607043.0,4
Brian Dozier,153.0,677.0,27.666666666666668,96.0,79.66666666666667,15.5,0.10067822483333333,0.19818820583333333,0.205520449,0.2711974996666667,0.2460030605,0.3279415806666667,0.45152350950000003,0.3362011959118463,0.3145,110.88187527244848,3.544842059879253,12.71779235896818,3.80996506412824,4.024844115876673,9810.0,572821.0,0.3841983775297801,-12.062158624331156,12.446357607841492,8.264216502507528,0.8218028700600066,1.021917063220921,1.7211666425069172,1.3333333333333333,0.742665279035767,-0.36428280191503576,9810.0,572821.0,6
Brian McCann,136.5,541.5,23.5,59.75,79.25,2.0,0.09889431374999999,0.1666141045,0.1892583735,0.262390175,0.2510696565,0.33286836675,0.44032803,0.3359261360433199,0.307,111.18249772421007,-4.228450887952931,3.0225859474864505,23.6913999915123,4.621219393397384,4810.0,435263.0,1.0025480911135674,-10.053629159927368,11.056177616119385,13.04649973521009,1.3883746503852308,1.0889948904514313,2.104572832584381,11.25,0.9381126733496785,-0.0375232484300734,4810.0,435263.0,4
Bryce Harper,145.875,628.875,30.375,96.375,87.625,13.0,0.152721754625,0.21905395087500001,0.246309882625,0.32342034000000003,0.280076179,0.392710374375,0.526386061625,0.38665473159046,0.3911428571428571,143.2347825912698,0.19942399582942005,33.32950953008127,-6.991261541843414,4.7626033091429125,11579.0,547180.0,3.7153523941524327,-9.56178879737854,13.277141451835632,40.30395030975342,4.116062715649605,0.9841113537549973,2.28354994058609,1.75,3.8301498889923096,-0.09873872376695864,11579.0,547180.0,8
Buster Posey,146.5,602.5,17.666666666666668,71.5,84.33333333333333,2.8333333333333335,0.09885959550000001,0.11658119249999999,0.1648345301666667,0.32820507449999997,0.31100789133333334,0.380547543,0.47584242150000006,0.3672872729816075,0.361,136.42891362554073,-3.067617694808481,22.81747294449852,25.396960477034252,7.059265685795036,9166.0,457763.0,2.9882317880789437,-9.987373987833658,12.975606123606363,30.202333450317383,3.34174774090449,1.0601694583892822,2.74233611424764,5.833333333333333,2.8676820198694863,0.007365430592289455,9166.0,457763.0,6
Byron Buxton,140.0,511.0,16.0,69.0,51.0,29.0,0.074363992,0.293542074,0.16017316,0.338926174,0.253246753,0.314229249,0.413419913,0.3116858514055373,0.298,91.56102733157395,9.029438762459904,3.708903279044037,24.652249097824097,4.501146745699713,14161.0,621439.0,0.5687546730041504,-7.554605484008789,8.123359680175781,-4.777999401092529,-0.5047727823257446,0.8571963906288147,,0.0,0.5906761288642883,0.072829549906627,14161.0,621439.0,1
Cal Raleigh,149.0,598.5,32.0,75.5,87.5,3.0,0.1031841535,0.27896745850000004,0.220144378,0.262234061,0.2258745145,0.308950779,0.44601889250000004,0.3243747567424988,0.3385,115.12978813508292,-2.3947204661089927,8.234419946914311,19.534785449504852,4.880777243953299,21534.0,663728.0,0.6629334315657616,-10.65536117553711,11.318295001983643,12.284001111984253,1.2767828106880188,1.0253395438194275,1.8511403799057007,12.0,0.8896819055080414,-0.24875914363706875,21534.0,663728.0,2
Carl Crawford,142.0,601.0,15.0,87.5,73.0,32.5,0.056026606,0.174906326,0.169265481,0.320528914,0.2808036885,0.3227241085,0.4500691695,0.33521186715881546,,108.77409703069566,7.601913211052306,15.738981364709613,0.8258152008056641,3.833874080005005,1201.0,408307.0,0.7358549833297732,-10.683532238006592,11.419387340545654,15.212499141693115,1.632572889328003,1.0360684394836426,2.5118499994277954,2.0,1.355153739452362,-0.5921917100821812,1201.0,408307.0,2
Carlos Correa,143.0,617.5,21.5,77.5,79.25,3.25,0.1089844575,0.20570071825,0.1819219365,0.311707896,0.26846728925,0.35110042975,0.45038922575,0.3458919857956107,0.35825,122.69749693261136,-0.8896590399672276,15.879424733970417,4.498820632696152,4.1890749889572625,14162.0,621043.0,1.0183063745498657,-11.046887159347534,12.065193891525269,16.372050285339355,1.7418620586395264,1.0136751532554626,3.8601999282836914,1.0,1.6263234913349152,-0.5858699574347804,14162.0,621043.0,4
Carlos Gómez,147.5,617.0,23.5,87.5,73.0,37.0,0.067846615,0.233200863,0.207697358,0.3415345355,0.28377710700000003,0.3470019295,0.491474465,0.3652577323196545,,130.22129508388875,4.0393320536240935,25.049526233487448,13.365203976631166,6.202303832958057,4881.0,460576.0,1.7657397985458374,-10.885156154632568,12.650896072387695,23.883150100708008,2.5535290241241455,1.0300931334495544,0.48483335366472596,2.0,2.835479736328125,-1.123498667659698,4881.0,460576.0,2
Cedric Mullins,157.5,673.5,23.0,90.0,61.5,32.0,0.07867394150000001,0.18634259250000001,0.1861557965,0.31043540849999995,0.27446067900000004,0.338984801,0.4606164755,0.34341826973243594,0.31599999999999995,121.68724296353966,2.127405009116046,19.77715563754731,5.276158392429352,4.819194798028641,17929.0,656775.0,0.791677013039589,-11.655282497406006,12.446959495544434,12.947800353169441,1.2460553254932165,0.9887254238128662,2.114637553691864,8.0,1.7495043575763702,-0.8865600401678642,17929.0,656775.0,2
Chris Young,156.0,661.5,23.5,91.5,81.0,25.0,0.1164209185,0.2146495685,0.189313498,0.2855421685,0.24659044200000002,0.3360909005,0.43590394,0.33952102946326523,,105.84719672222178,5.0852150860009715,9.698707450138636,12.27273738384247,4.4230663695889225,3882.0,455759.0,1.727034330368042,-11.903409004211426,13.630444049835205,14.5142502784729,1.4330823421478271,1.0287322998046875,3.796199917793274,1.0,1.091898888349533,0.6088785840466255,3882.0,455759.0,2
