Name,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,PlayerId_y,MLBAMID_y,Years_Contributed
Francisco Rodríguez,3.25,3.75,24.25,58.75,0.0,56.8375,9.437227262381562,3.050465254019542,1.2808312541948244,0.2758288528555968,0.80357438625,0.433916137375,0.13881678825,91.16739874271337,3.5275403175082833,4.1433333333333335,3.9300255202167005,3.5101926249977837,0.4654429769143462,1642.0,408061.0,0.6566867702640593,-6.434040322899818,7.090727508068085,6.222625019028783,0.6514144106768072,1.6782122203372678,1.4480328019856847,1.500699414359193,1.6191155722334578,19.5,0.48519749066326767,-0.08108199447936403,24.625,7.5,1642.0,408061.0,8
Félix Bautista,6.0,3.0,24.0,60.5,0.0,63.1,14.145212392804645,3.4941752829737673,0.7747774914488302,0.25251374705420265,0.84130327,0.3928571425,0.1061895545,99.66339711051675,1.8341518345258336,2.37,2.396226260451122,2.534001994236525,2.067616641521454,20666.0,642585.0,3.6739609241485596,-5.780431032180786,9.454391956329346,20.521499633789062,2.1661975383758545,1.870373785495758,1.7170383930206299,1.8308041095733643,1.7659372091293335,22.5,1.2955971956253052,0.6492646973213709,32.0,5.5,20666.0,642585.0,2
Heath Bell,3.8,2.6,24.8,57.2,0.0,55.54,8.56414328742856,3.41243470794265,0.7147493419663402,0.32501971219116915,0.734309752,0.48770578760000005,0.08695701559999999,94.19693233075772,4.16799416690777,,3.5356007260191022,3.6835762917031105,0.6264989942312241,2080.0,425514.0,0.7817760109901428,-7.01618525981903,7.797961854934693,0.8805999040603638,0.08788076937198638,1.7196899056434631,1.3890693068504334,1.4472817778587341,1.6756135940551757,19.4,-0.16403144598007208,0.5185699383367866,24.6,8.2,2080.0,425514.0,5
Huston Street,2.125,2.625,24.375,44.625,0.0,43.4625,8.057737911722242,2.542404034535221,1.0616682267469368,0.25328151946039845,0.840338025,0.358168626875,0.09327946987499999,89.8868154709191,2.875672192642684,3.813333333333333,3.7146016500998043,3.8840116841648222,0.31838349252939224,8258.0,434718.0,1.1868170169182122,-4.641701281070709,5.828518285416067,4.135999944061041,0.44994077272713184,1.545561949576228,1.4649261694523645,1.4636740993830513,1.920966393314302,7.25,0.49278266541659826,0.14806754723208537,21.625,5.25,8258.0,434718.0,8
Joe Nathan,3.0,2.0,21.666666666666668,42.333333333333336,0.0,39.449999999999996,12.98411797067235,2.9809361119129085,0.573989216197152,0.239379906616798,0.8321675199999999,0.289834985,0.059146605666666664,93.14186457997603,2.3059745070360154,1.175,2.099543318765997,2.568550186728516,0.7380515563612183,1122.0,150274.0,0.9598559768249592,-4.372567252566417,5.332423359931757,3.3891666730244956,0.3372376785458376,1.5268082524339357,1.2067032337188721,1.358445539077123,1.8916882395744323,7.0,0.5996756587798396,-0.0735586475376719,18.833333333333332,4.833333333333333,1122.0,150274.0,6
Joel Hanrahan,2.5,2.0,21.5,53.5,0.0,50.925000000000004,9.289079842862362,4.562436331017591,1.7554958583347746,0.27731114787631095,0.8004447625,0.422721638,0.13038512375,97.3912232524205,4.496361142980364,,5.1202265527116975,4.162100368739004,0.5741787329316139,2186.0,430629.0,1.0904064774513245,-5.098766922950745,6.189172670245171,6.3707499504089355,0.6824555993080139,1.7080050706863403,1.3984492123126984,1.4139410555362701,1.8850127160549164,16.25,0.6136621087789536,0.07168727182019613,22.0,6.25,2186.0,430629.0,4
Jonathan Papelbon,3.857142857142857,3.5714285714285716,31.0,60.142857142857146,0.0,60.92857142857143,9.57207129220586,2.3457557340976094,0.7573939239950003,0.28877557284612104,0.7573927385714285,0.405651305,0.07745445857142856,93.42709015937257,2.961901190681813,3.7749999999999995,2.9866874955839244,3.4269517930244624,1.3186388313770294,5975.0,449097.0,1.6622439580304282,-6.79102144922529,8.453264883586339,6.53199976682663,0.7108343083943639,1.81784161886328,1.613340762786535,1.6365382232619834,2.112169474363327,9.0,0.8958331218787602,0.04164885939389938,30.714285714285715,6.857142857142857,5975.0,449097.0,7
Jordan Romano,3.6,3.2,20.6,43.2,0.0,42.86,10.855719301726046,3.6204651050051497,1.4919453298135688,0.29025602525602523,0.774347282,0.41474571940000005,0.1729853904,96.51549088137133,4.273267503977043,4.776,4.400857670789376,3.905511493811339,0.6694581568241119,16122.0,605447.0,1.8427143573760987,-5.147279119491577,6.989993405342102,7.565400075912476,0.7658636271953583,1.8256534099578858,1.5701157331466675,1.534304440021515,1.73194320499897,11.2,0.483982527256012,0.4142107167373143,20.0,6.0,16122.0,605447.0,5
Jose Valverde,1.6,2.8,24.2,49.4,0.0,48.68,8.541416890322257,3.894305340809513,1.2525499233021902,0.2644820598144088,0.7329659,0.4104916486,0.11620265060000001,94.43893864997996,4.05394793987143,,4.435113189374034,4.166203788103159,0.3410669952630997,1726.0,407878.0,1.046087121963501,-5.139315938949585,6.185402154922485,4.065600204467773,0.39936288595199587,1.570907998085022,1.3250388383865357,1.361756443977356,1.694808006286621,4.8,0.3347481399774551,0.26240472666246284,19.6,4.8,1726.0,407878.0,5
Josh Hader,3.857142857142857,3.857142857142857,26.571428571428573,57.0,0.0,62.68571428571429,14.599214911699091,3.6108723547644983,1.0622759984827654,0.24973526456891634,0.8267613628571429,0.301324524,0.12587368314285713,95.32576749474687,2.6651838604085683,2.5585714285714287,2.8119784380428308,2.82800629048828,1.704714264188494,14212.0,623352.0,2.379142463207245,-6.255970852715628,8.635113443647112,12.292857348918915,1.2294686777251107,1.7580596465863927,1.660880605481109,1.7192921553339278,2.04312476399657,19.428571428571427,1.439904843057905,-0.06395486935419752,30.571428571428573,7.571428571428571,14212.0,623352.0,7
Juan Carlos Oviedo,2.6666666666666665,3.3333333333333335,22.333333333333332,56.0,0.0,53.43333333333333,8.304849486423024,3.4642957150274447,0.8880369340209299,0.28603629894834953,0.74170207,0.399769756,0.07935114466666666,94.17322059136042,3.737757493772921,,3.780737699599342,4.1118160890164015,0.4452003786961238,2886.0,434663.0,0.29622329274813325,-6.381869236628215,6.67809271812439,0.926999568939209,0.10968207319577532,1.5097323258717854,1.2952436804771423,1.4677605628967285,1.5225643714269002,18.0,0.19638415177663168,-0.2297785394805216,22.666666666666668,7.666666666666667,2886.0,434663.0,3
Kenley Jansen,3.2857142857142856,2.5,31.142857142857142,60.285714285714285,0.0,60.035714285714285,12.69602053387474,2.84316782593276,0.7980475815864961,0.2649469286461572,0.8061012871428571,0.3270009702142857,0.08456085207142858,93.19294738769533,2.5217613836258788,2.51,2.5153141196849,2.9735131495726796,1.7339998398508345,3096.0,445276.0,1.9722271519047874,-5.844268364565713,7.816495146070208,10.589357205799647,1.12300705909729,1.6862952283450536,1.541822646345411,1.6098224350384303,1.8428304067679815,15.357142857142858,1.1467082692044122,0.06094784758168246,30.142857142857142,6.642857142857143,3096.0,445276.0,14
Kyle Finnegan,5.25,6.5,22.0,66.5,0.0,66.125,8.845572810388171,3.528604991322762,1.28560230265466,0.2891171509062984,0.7420226025,0.47242215625,0.15801490675000002,96.87784668042352,3.6238179702868445,4.0075,4.277040820175451,3.8797080505003487,0.2444704701192677,15009.0,640448.0,0.4138284847140312,-8.733250141143799,9.1470787525177,-0.6352499425411224,-0.05067893676459791,1.7526557445526123,1.57241490483284,1.649331659078598,1.556057095527649,28.5,-0.014175178483128544,0.18089162824120553,29.25,11.5,15009.0,640448.0,4
Mariano Rivera,2.75,2.0,31.5,49.5,0.0,48.3,7.947025519682851,1.5623847093157828,0.39599191582134374,0.26221351285698397,0.81031429,0.473148001,0.04850324325,,1.994246193849671,,2.486836639960675,3.182480388778475,1.411290518939495,844.0,121250.0,1.992881489917636,-5.294037073850632,7.286918610334396,11.132750153541565,1.1081919316202402,2.018812447786331,1.8946627378463745,1.9517497718334198,1.9973444938659668,5.0,1.3955512270331383,-0.4265665678533547,27.5,5.75,844.0,121250.0,4
Mark Melancon,2.9166666666666665,3.1666666666666665,20.916666666666668,58.0,0.0,57.15,8.133668509677536,2.3983353663625313,0.627829004733016,0.30155541844109507,0.72564277,0.5410140545833333,0.09758596608333332,92.7799151709596,3.2164252426919866,3.8214285714285716,3.1112570299461986,3.2589291191609893,0.9696116598788649,4264.0,453343.0,1.5231361480740209,-5.607428395965447,7.130565024339982,5.9894998868306475,0.6611085636541247,1.604817606683923,1.421087401134516,1.4536188365571727,1.6993345866600673,22.083333333333332,0.8336566132493317,0.028741644759693357,26.0,6.583333333333333,4264.0,453343.0,12
Matt Capps,3.3333333333333335,4.666666666666667,23.666666666666668,57.666666666666664,0.0,55.76666666666667,5.818866447553565,1.7016297710148407,1.214791829895136,0.2732132221459331,0.7637117166666667,0.443876672,0.109882193,94.00675861145072,3.4654343627885815,,4.155635111044494,3.9936521631509088,0.22863244824111464,4788.0,448165.0,0.14603464802106217,-7.35887336730957,7.504908561706542,4.109000086784363,0.4005921234687169,1.7747057668746464,1.4932790180047355,1.5835269813065056,1.206268634647131,14.333333333333334,0.2803913280367851,-0.25571961572182306,23.333333333333332,9.0,4788.0,448165.0,3
Rafael Soriano,2.6666666666666665,1.6666666666666667,27.333333333333332,52.166666666666664,0.0,50.300000000000004,7.907839675203248,2.66224244799012,1.1654900847734653,0.27481920131532217,0.7958920633333334,0.322740301,0.10464547333333334,92.20125976532341,3.46064002358368,4.74,3.943083760514456,3.930018803612013,0.7047283227245013,1100.0,400089.0,1.4544836630423863,-5.490310907363892,6.944794754187266,7.801666776339213,0.8159659604231516,1.6310566465059917,1.4667022625605266,1.6089359521865845,1.9665376543998718,14.333333333333334,0.5696048960089685,0.19986223627896757,26.5,6.0,1100.0,400089.0,6
Raisel Iglesias,3.7777777777777777,5.111111111111111,24.0,56.44444444444444,2.3333333333333335,71.61111111111111,10.732299260675092,2.4957356887407647,1.0375358871139684,0.27506493074874105,0.7933391866666667,0.3990483248888889,0.122896617,95.305186148524,2.826924186919822,3.11,3.2187499706912615,3.2952842500133475,1.4194429032504559,17130.0,628452.0,1.6009266012244754,-6.866799554891056,8.46772575378418,10.977522167894575,1.1020802514006693,1.5519841771157448,1.4532902170687256,1.4593291695121193,1.9508670313295977,13.666666666666666,1.0414503483722608,-0.047913312063273206,23.22222222222222,6.888888888888889,17130.0,628452.0,9
Roberto Osuna,2.8,3.6,30.8,62.0,0.0,62.04,9.804098599339595,1.5288443716899875,0.7530622068984995,0.2612902114681181,0.763108134,0.3910466822,0.0790869674,95.94597454883385,2.726720164516649,3.104,2.7238109327078464,3.388108707922143,1.7434715270996093,13764.0,532077.0,1.41455836892128,-6.656855607032776,8.071415090560913,12.398200130462646,1.253053367137909,1.8117305224592033,1.5759615763639794,1.6575934516756157,2.0503195898873465,13.0,1.3949936926364899,-0.5776751437100666,28.6,7.6,13764.0,532077.0,5
