Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Kevin Newman","PIT",2.1305739879608154,-9.159520149230957,11.290098190307617,10.838000297546387,0.9385420083999634,1.0382583141326904,1.9770572185516357,7,0.7005646228790283,1.3515008014567176,"Kevin Newman",17696,621028
"Charlie Blackmon","COL",3.434390068054199,-10.739652633666992,14.174041748046875,30.402099609375,2.529938220977783,0.9745617508888245,2.0722999572753906,4,2.318372964859009,1.2056623924920777,"Charlie Blackmon",7859,453568
"Wilson Ramos","NYM",2.0867037773132324,-8.5803804397583,10.667083740234375,15.645000457763672,1.559983730316162,1.0323541164398193,2.318924903869629,24,0.8722167611122131,1.1490894400094018,"Wilson Ramos",1433,467092
"Ronald Acuña Jr.","ATL",4.498187065124512,-11.050492286682129,15.548680305480957,41.832000732421875,4.114121437072754,0.9497458934783936,1.2019999027252197,2,3.6108193397521973,1.1253812545458652,"Ronald Acuna Jr.",18401,660670
"David Fletcher","LAA",0.8204633593559265,-10.18075180053711,11.001215934753418,6.442899703979492,0.7581354975700378,0.945955753326416,,0,-0.21856071054935455,1.0858986980512007,"David Fletcher",17992,664058
"Trea Turner","WSN",2.3089232444763184,-9.078475952148438,11.387399673461914,14.575399398803711,1.4963791370391846,0.9121118187904358,0.6287999749183655,1,1.458178997039795,1.0732247156521573,"Trea Turner",16252,607208
"Anthony Rizzo","CHC",4.5357279777526855,-8.876290321350098,13.412017822265625,48.604801177978516,4.774994373321533,0.9351491928100586,1.2649999856948853,2,3.785046339035034,1.0652256952305752,"Anthony Rizzo",3473,519203
"Max Muncy","LAD",4.8225507736206055,-8.83950424194336,13.662054061889648,41.3849983215332,4.1294403076171875,0.9762434363365173,1.5628888607025146,9,3.877861499786377,1.062044464363165,"Max Muncy",13301,571970
"Mookie Betts","BOS",3.841033458709717,-10.792665481567383,14.633700370788574,42.178001403808594,3.920628070831299,0.9848462343215942,,0,2.9040567874908447,0.9960784060559846,"Mookie Betts",13611,605141
"Dexter Fowler","STL",1.0468623638153076,-9.076623916625977,10.123485565185547,11.729999542236328,1.2551296949386597,0.9389597177505493,0.9933817982673645,11,0.15320315957069397,0.961714066402811,"Dexter Fowler",4062,451594
"Paul Goldschmidt","STL",3.149618148803711,-11.015093803405762,14.164711952209473,29.4739990234375,3.053209066390991,0.9620400667190552,4.2390666007995605,3,2.313673496246338,0.9602214877174586,"Paul Goldschmidt",9218,502671
"Josh Reddick","HOU",0.4146677851676941,-8.955322265625,9.369990348815918,1.7029993534088135,0.1719607263803482,0.9580665230751038,2.2543556690216064,9,-0.518509030342102,0.9513263506224683,"Josh Reddick",3892,502210
"Albert Pujols","LAA",0.19395972788333893,-9.843649864196777,10.037610054016113,4.795000076293945,0.4436308443546295,1.0381271839141846,1.7788500785827637,4,-0.7245645523071289,0.9114007424086419,"Albert Pujols",1177,405395
"Starlin Castro","MIA",0.2578815519809723,-12.315347671508789,12.573229789733887,-5.740999698638916,-0.5743376016616821,1.0256468057632446,2.2809998989105225,2,-0.644434928894043,0.8958680250943156,"Starlin Castro",4579,516770
"Eddie Rosario","MIN",0.7906354665756226,-10.248769760131836,11.039405822753906,11.272000312805176,1.1270068883895874,0.9984297752380371,4.632200241088867,2,-0.08167898654937744,0.8735578809735005,"Eddie Rosario",12155,592696
"Bryan Reynolds","PIT",2.685716152191162,-8.38270092010498,11.068415641784668,30.753000259399414,3.0367448329925537,0.976646363735199,1.1256999969482422,8,1.9303656816482544,0.8195715033115087,"Bryan Reynolds",19326,668804
"Freddie Freeman","ATL",4.64900541305542,-10.008057594299316,14.657064437866211,54.540000915527344,5.350918292999268,0.9153522849082947,1.2716000080108643,1,4.332638740539551,0.7462860512647156,"Freddie Freeman",5361,518692
"Hunter Dozier","KCR",1.711076021194458,-10.541589736938477,12.252666473388672,6.374000072479248,0.6081048846244812,1.0228629112243652,1.2985999584197998,1,0.9275638461112976,0.7452664055460851,"Hunter Dozier",15117,641531
"Mallex Smith","SEA",-0.8869105577468872,-10.581640243530273,9.694729804992676,-14.884699821472168,-1.4876099824905396,0.994094967842102,1.7990000247955322,2,-1.631970763206482,0.739791860347615,"Mallex Smith",13608,605480
"Danny Santana","TEX",0.9431136250495911,-9.225852012634277,10.168966293334961,10.39579963684082,0.8961509466171265,0.9877989888191223,1.4264333248138428,12,0.22443746030330658,0.7303252350675897,"Danny Santana",10322,542454
"Kris Bryant","CHC",3.3503942489624023,-9.396194458007812,12.746587753295898,32.03300094604492,3.1717112064361572,0.9199069738388062,0.43299999833106995,2,2.9348647594451904,0.7072363923496288,"Kris Bryant",15429,592178
"Orlando Arcia","MIL",-1.6956218481063843,-9.89344596862793,8.197824478149414,-19.631999969482422,-1.9773119688034058,0.9673164486885071,0.18488000333309174,5,-2.366464376449585,0.6135510972374743,"Orlando Arcia",13185,606115
"Jurickson Profar","OAK",0.11360033601522446,-8.913700103759766,9.027299880981445,-3.524000406265259,-0.3769826591014862,0.9786027073860168,1.91902494430542,8,-0.4877703785896301,0.6038546027163615,"Jurickson Profar",10815,595777
"Tim Anderson","CHW",1.8701560497283936,-8.609448432922363,10.47960376739502,11.31089973449707,1.0388034582138062,0.9421160221099854,,0,1.4204906225204468,0.5645685483659031,"Tim Anderson",15172,641313
"Max Kepler","MIN",2.483307361602783,-9.571308135986328,12.05461597442627,23.132598876953125,2.243596076965332,0.9453999400138855,1.8932000398635864,4,2.072733163833618,0.5539936387577908,"Max Kepler",12144,596146
"Anthony Rendon","WSN",4.945283889770508,-9.930609703063965,14.875893592834473,66.2719955444336,6.497612476348877,0.9622606635093689,,0,4.61048698425293,0.5287482326736725,"Anthony Rendon",12861,543685
"Christian Yelich","MIL",7.34187650680542,-8.312694549560547,15.654569625854492,64.32099914550781,6.354491233825684,0.9786275029182434,2.216949939727783,4,7.016788959503174,0.48542867173253423,"Christian Yelich",11477,592885
"José Abreu","CHW",2.344005823135376,-11.667440414428711,14.011445999145508,20.48699951171875,2.011505365371704,0.9360414743423462,,0,2.100417375564575,0.40375138980156633,"Jose Abreu",15676,547989
"Victor Robles","WSN",0.8363359570503235,-9.895036697387695,10.731371879577637,0.3410000503063202,0.06356509774923325,0.9286112189292908,1.7527199983596802,5,0.5185907483100891,0.3820401508240364,"Victor Robles",18363,645302
"Nolan Arenado","COL",3.6611080169677734,-10.96996784210205,14.631075859069824,42.32699966430664,3.792874336242676,1.0023070573806763,1.9796000719070435,2,3.2872259616851807,0.3654551104558532,"Nolan Arenado",9777,571448
"DJ LeMahieu","NYY",2.969869375228882,-9.909048080444336,12.878917694091797,47.08829879760742,4.522672653198242,0.9000974297523499,1.8600000143051147,1,2.961036443710327,0.3384612296093299,"DJ LeMahieu",9874,518934
"Carlos Santana","CLE",3.2310874462127686,-10.273139953613281,13.504228591918945,27.94999885559082,2.5914206504821777,0.9166970252990723,,0,3.216268301010132,0.3084376345836124,"Carlos Santana",2396,467793
"Daniel Vogelbach","SEA",1.0484299659729004,-9.219488143920898,10.26791763305664,7.610999584197998,0.7041730880737305,0.95103520154953,1.7817636728286743,11,0.8375611901283264,0.2648480206608055,"Daniel Vogelbach",14130,596129
"Khris Davis","OAK",-0.8382207751274109,-10.094562530517578,9.256341934204102,-10.402999877929688,-1.0965996980667114,0.9745537638664246,1.51419997215271,6,-1.0853886604309082,0.22528139266779268,"Khris Davis",9112,501981
"Joc Pederson","LAD",1.9162553548812866,-8.25199031829834,10.168245315551758,18.156200408935547,1.990889072418213,0.9459121823310852,0.9859375357627869,32,1.8034257888793945,0.22240217980043475,"Joc Pederson",11899,592626
"Luke Voit","NYY",1.5849605798721313,-7.594438076019287,9.179397583007812,24.657001495361328,2.4403812885284424,0.920717716217041,2.3624000549316406,2,1.5052201747894287,0.21622012331221896,"Luke Voit",14811,572228
"Ryan Braun","MIL",1.5809396505355835,-9.197951316833496,10.778891563415527,14.46299934387207,1.346729040145874,1.0015251636505127,1.4564580917358398,31,1.3999963998794556,0.17853573082920482,"Ryan Braun",3410,460075
"Corey Seager","LAD",1.1311297416687012,-8.508879661560059,9.640009880065918,20.059600830078125,2.1489877700805664,0.9775320291519165,1.6450570821762085,7,1.00493323802948,0.15219482318611255,"Corey Seager",13624,608369
"Amed Rosario","NYM",0.3458597660064697,-11.485154151916504,11.831013679504395,8.146499633789062,0.7943471074104309,1.0037684440612793,1.7074999809265137,4,0.2140199989080429,0.13054130709108774,"Amed Rosario",15518,642708
"Ryan McMahon","COL",-0.4407537579536438,-10.674504280090332,10.233750343322754,-6.321999549865723,-0.5739048719406128,1.058414340019226,1.8564153909683228,13,-0.5129594206809998,0.09653105110161792,"Ryan McMahon",15112,641857
"Elvis Andrus","TEX",-1.4995499849319458,-12.244195938110352,10.744646072387695,-13.585000038146973,-1.1970552206039429,1.0065749883651733,,0,-1.5742297172546387,0.0844748532206765,"Elvis Andrus",8709,462101
"Nick Ahmed","ARI",0.030040407553315163,-11.239026069641113,11.269065856933594,2.358999490737915,0.15397995710372925,0.9995155930519104,0.6347999572753906,2,-0.05412091687321663,0.08417588326107467,"Nick Ahmed",12147,605113
"Brandon Crawford","SFG",-1.4453396797180176,-10.555585861206055,9.110245704650879,-6.714999675750732,-0.8296235799789429,1.0388920307159424,1.7330249547958374,8,-1.4707753658294678,0.07954351787508918,"Brandon Crawford",5343,543063
"Vladimir Guerrero Jr.","TOR",0.2964019775390625,-9.694622039794922,9.991024017333984,4.904999732971191,0.4987625181674957,1.0041946172714233,4.063199996948242,5,0.21816124022006989,0.07700263781827271,"Vladimir Guerrero Jr.",19611,665489
"Rougned Odor","TEX",-2.0495219230651855,-11.433196067810059,9.383673667907715,-4.589999675750732,-0.46021726727485657,1.0042437314987183,2.111799955368042,7,-2.084932565689087,0.0440715089747874,"Rougned Odor",12282,596059
"Adam Eaton","WSN",0.9711495637893677,-10.260284423828125,11.23143196105957,6.994999885559082,0.6904911398887634,0.9286702871322632,1.643314242362976,7,1.0068414211273193,0.03890062235754388,"Adam Eaton",11205,594809
"Adam Jones","ARI",0.0650719404220581,-9.694862365722656,9.759933471679688,6.696999549865723,0.6854286789894104,0.9941747188568115,1.2460769414901733,13,0.02922382391989231,0.036229399932835984,"Adam Jones",6368,430945
